65.21.237.125 - - [28/Mar/2022:03:54:22 -0700] "GET /self.logs/error.log.2019-07-15 HTTP/1.1" 200 23147 "http://www.secrepo.com/self.logs/" "Mozilla/5.0 (compatible; SEOkicks; +https://www.seokicks.de/robot.html)" 
65.21.237.125 - - [28/Mar/2022:03:54:23 -0700] "GET /self.logs/error.log.2019-08-08 HTTP/1.1" 200 1312 "http://www.secrepo.com/self.logs/" "Mozilla/5.0 (compatible; SEOkicks; +https://www.seokicks.de/robot.html)" 
40.77.167.0 - - [28/Mar/2022:03:57:24 -0700] "GET /self.logs/access.log.2017-02-06.gz HTTP/1.1" 200 30110 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
49.233.166.152 - - [28/Mar/2022:04:02:26 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.76" 
40.77.167.0 - - [28/Mar/2022:04:16:39 -0700] "GET /self.logs/error.log.2021-01-29 HTTP/1.1" 200 351 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
194.93.0.40 - - [28/Mar/2022:04:17:07 -0700] "GET /robots.txt HTTP/1.0" 200 340 "-" "Mozilla/4.0 (compatible; fluid/0.0; +http://www.leak.info/bot.html)" 
103.131.71.198 - - [28/Mar/2022:04:17:46 -0700] "GET /robots.txt HTTP/1.1" 301 458 "-" "Mozilla/5.0 (compatible; coccocbot-image/1.0; +http://help.coccoc.com/searchengine)" 
103.131.71.198 - - [28/Mar/2022:04:17:48 -0700] "GET /robots.txt HTTP/1.1" 200 340 "-" "Mozilla/5.0 (compatible; coccocbot-image/1.0; +http://help.coccoc.com/searchengine)" 
114.119.149.23 - - [28/Mar/2022:04:24:15 -0700] "GET /self.logs/error.log.2019-02-25.gz HTTP/1.1" 200 4014 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
114.119.149.218 - - [28/Mar/2022:04:35:05 -0700] "GET /self.logs/error.log.2019-02-12.gz HTTP/1.1" 200 4080 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
114.119.140.174 - - [28/Mar/2022:04:45:51 -0700] "GET /self.logs/error.log.2018-03-02.gz HTTP/1.1" 200 3120 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
66.249.77.81 - - [28/Mar/2022:04:47:59 -0700] "GET /self.logs/ HTTP/1.1" 200 35201 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
200.9.155.65 - - [28/Mar/2022:04:48:17 -0700] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36" 
200.9.155.65 - - [28/Mar/2022:04:48:19 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36" 
200.9.155.65 - - [28/Mar/2022:04:48:20 -0700] "GET / HTTP/1.1" 200 13163 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36" 
112.5.37.206 - - [28/Mar/2022:04:48:25 -0700] "GET / HTTP/1.1" 200 49089 "-" "-" 
200.9.155.65 - - [28/Mar/2022:04:48:26 -0700] "GET /maccdc2012/smtp.log.gz HTTP/1.1" 200 6956 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36" 
200.9.155.65 - - [28/Mar/2022:04:48:28 -0700] "GET /maccdc2012/ssh.log.gz HTTP/1.1" 200 182544 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36" 
200.9.155.65 - - [28/Mar/2022:04:48:32 -0700] "GET /maccdc2012/ssl.log.gz HTTP/1.1" 200 1311486 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36" 
200.9.155.65 - - [28/Mar/2022:04:48:47 -0700] "GET /maccdc2012/tunnel.log.gz HTTP/1.1" 200 5282 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36" 
40.77.167.45 - - [28/Mar/2022:04:51:31 -0700] "GET /self.logs/error.log.2017-06-24.gz HTTP/1.1" 200 1249 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
96.126.109.47 - - [28/Mar/2022:04:54:05 -0700] "GET / HTTP/1.1" 301 475 "-" "python-requests/2.26.0" 
96.126.109.47 - - [28/Mar/2022:04:54:05 -0700] "GET / HTTP/1.1" 200 13186 "-" "python-requests/2.26.0" 
